file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,-,-,-,-,23626,-
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,-,-,-,-,24041,-
0_UNIFORM_1000,float,-,-,-,-,-,85227,-
0_UNIFORM_1000,double,-,-,-,-,-,60019,-
0_UNIFORM_3000,float,-,-,-,-,-,210947,-
0_UNIFORM_3000,double,-,-,-,-,-,131059,-
0_UNIFORM_5000,float,-,-,-,-,-,308976,-
0_UNIFORM_5000,double,-,-,-,-,-,210786,-
0_UNIFORM_100000,float,-,-,-,-,-,4681259,-
0_UNIFORM_100000,double,-,-,-,-,-,3518786,-
1_RAND_100000,float,-,-,-,-,-,4654932,-
1_RAND_100000,double,-,-,-,-,-,3180266,-
2_RANDCONSTHEIGHT_100000,float,-,-,-,-,-,4411521,-
2_RANDCONSTHEIGHT_100000,double,-,-,-,-,-,3037914,-
4_SKEWED_1_100000,float,-,-,-,-,-,522416,-
4_SKEWED_1_100000,double,-,-,-,-,-,391207,-
4_SKEWED_5_100000,float,-,-,-,-,-,1061950,-
4_SKEWED_5_100000,double,-,-,-,-,-,813195,-
4_SKEWED_1_65536,float,-,-,-,-,-,344993,-
4_SKEWED_1_65536,double,-,-,-,-,-,275335,-
4_SKEWED_5_65536,float,-,-,-,-,-,771821,-
4_SKEWED_5_65536,double,-,-,-,-,-,604391,-
1_RAND_NORMH_100000,float,-,-,-,-,-,4712646,-
1_RAND_NORMH_100000,double,-,-,-,-,-,3681770,-
1_RAND_NORMW_100000,float,-,-,-,-,-,5371358,-
1_RAND_NORMW_100000,double,-,-,-,-,-,3557801,-
4_SKEWED_1_100000,float,-,-,-,-,-,322614,-
4_SKEWED_1_100000,double,-,-,-,-,-,265954,-
4_SKEWED_INV_1_100000,float,-,-,-,-,-,115992,-
4_SKEWED_INV_1_100000,double,-,-,-,-,-,115868,-
