file,precision,registers,version,block,sort,kernel time,total time,memory
1_RAND_65536,float,-,1,64,-,53982108,53984415,589241020
1_RAND_65536,float,-,1,64,w,60303042,60310257,589503164
1_RAND_65536,float,-,1,64,h,58972309,58979664,589503164
1_RAND_65536,float,-,1,128,-,53678970,53681290,589241020
1_RAND_65536,float,-,1,128,w,60039139,60046272,589503164
1_RAND_65536,float,-,1,128,h,58634119,58641257,589503164
1_RAND_65536,float,-,2,64,-,32508470,32512103,1142009500
1_RAND_65536,float,-,2,64,w,13190763,13199230,1142271644
1_RAND_65536,float,-,2,64,h,18842664,18851247,1142271644
1_RAND_65536,float,-,2,128,-,32917698,32921412,1142009500
1_RAND_65536,float,-,2,128,w,13188132,13196603,1142271644
1_RAND_65536,float,-,2,128,h,18934772,18943357,1142271644
1_RAND_65536,float,-,3,64,-,21576152,21579412,1128183452
1_RAND_65536,float,-,3,64,w,7974360,7981769,657916572
1_RAND_65536,float,-,3,64,h,11905094,11912542,663215772
1_RAND_65536,float,-,3,128,-,21622807,21626184,1136336540
1_RAND_65536,float,-,3,128,w,8025941,8033515,708939420
1_RAND_65536,float,-,3,128,h,12045570,12053121,733810332
1_RAND_65536,float,-,4,64,-,22055840,22059586,1111333532
1_RAND_65536,float,-,4,64,w,7803836,7811799,625356444
1_RAND_65536,float,-,4,64,h,11852743,11860997,626721948
1_RAND_65536,float,-,4,128,-,22007662,22011377,1111333532
1_RAND_65536,float,-,4,128,w,7836878,7844814,625356444
1_RAND_65536,float,-,4,128,h,11817793,11825648,626721948
1_RAND_65536,double,-,1,64,-,50786654,50789501,1169788216
1_RAND_65536,double,-,1,64,w,60180806,60189216,1170050360
1_RAND_65536,double,-,1,64,h,57655395,57663607,1170050360
1_RAND_65536,double,-,1,128,-,49952943,49955649,1169788216
1_RAND_65536,double,-,1,128,w,60045834,60053939,1170050360
1_RAND_65536,double,-,1,128,h,56961664,56969890,1170050360
1_RAND_65536,double,-,2,64,-,41296423,41301231,2275375192
1_RAND_65536,double,-,2,64,w,16270708,16281086,2275637336
1_RAND_65536,double,-,2,64,h,24513382,24523606,2275637336
1_RAND_65536,double,-,2,128,-,41213280,41218041,2275375192
1_RAND_65536,double,-,2,128,w,16311437,16321822,2275637336
1_RAND_65536,double,-,2,128,h,24782766,24793113,2275637336
1_RAND_65536,double,-,3,64,-,26531228,26535816,2247448664
1_RAND_65536,double,-,3,64,w,10215303,10223980,1307408472
1_RAND_65536,double,-,3,64,h,16167416,16176148,1317232728
1_RAND_65536,double,-,3,128,-,26439248,26443872,2263760984
1_RAND_65536,double,-,3,128,w,10145980,10154857,1410117720
1_RAND_65536,double,-,3,128,h,15730183,15739215,1458446424
1_RAND_65536,double,-,4,64,-,27040432,27045692,2213736536
1_RAND_65536,double,-,4,64,w,10073810,10083050,1242045528
1_RAND_65536,double,-,4,64,h,15681138,15690335,1244226648
1_RAND_65536,double,-,4,128,-,26817343,26822499,2213736536
1_RAND_65536,double,-,4,128,w,10076232,10085420,1242045528
1_RAND_65536,double,-,4,128,h,14932641,14941865,1244226648
4_SKEWED_1_65536,float,-,1,64,-,3723687,3725325,157182790
4_SKEWED_1_65536,float,-,1,64,w,4604344,4611137,157444934
4_SKEWED_1_65536,float,-,1,64,h,4689698,4696406,157444934
4_SKEWED_1_65536,float,-,1,128,-,3837099,3838777,157182790
4_SKEWED_1_65536,float,-,1,128,w,4575200,4581884,157444934
4_SKEWED_1_65536,float,-,1,128,h,4632642,4639397,157444934
4_SKEWED_1_65536,float,-,2,64,-,5245724,5249583,1128543142
4_SKEWED_1_65536,float,-,2,64,w,1531319,1539865,1128805286
4_SKEWED_1_65536,float,-,2,64,h,1770300,1778785,1128805286
