file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,512,-,579,1572,10924
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,512,h,579,1653,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,512,H,579,1645,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,512,-,590,1588,10924
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,512,h,590,1660,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,512,H,590,1657,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,512,-,590,1508,10932
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,512,h,589,1582,11008
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,512,H,590,1577,11008
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,1,512,-,669,1688,10924
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,1,512,h,671,1754,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,1,512,H,670,1748,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,2,512,-,685,1703,10924
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,2,512,h,687,1764,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,2,512,H,686,1766,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,3,512,-,689,1724,10932
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,3,512,h,689,1692,11008
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,3,512,H,689,1690,11008
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,1,512,-,637,1646,20824
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,1,512,h,641,1736,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,1,512,H,641,1746,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,2,512,-,646,1665,20824
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,2,512,h,651,1741,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,2,512,H,650,1758,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,512,-,645,1745,20832
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,512,h,651,1674,20908
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,512,H,651,1675,20908
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,1,512,-,782,1928,20824
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,1,512,h,782,2021,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,1,512,H,784,2021,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,2,512,-,790,1929,20824
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,2,512,h,792,2036,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,2,512,H,790,2030,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,3,512,-,826,1871,20832
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,3,512,h,829,1986,20908
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,3,512,H,831,1984,20908
0_UNIFORM_1000,float,-,1,512,-,12362,13532,2759096
0_UNIFORM_1000,float,-,1,512,h,12354,15435,2763092
0_UNIFORM_1000,float,-,1,512,H,12377,15486,2763092
0_UNIFORM_1000,float,-,2,512,-,12430,13611,2759096
0_UNIFORM_1000,float,-,2,512,h,11272,14330,2763092
0_UNIFORM_1000,float,-,2,512,H,11272,14350,2763092
0_UNIFORM_1000,float,-,3,512,-,11239,12340,2761096
0_UNIFORM_1000,float,-,3,512,h,10588,13592,2765092
0_UNIFORM_1000,float,-,3,512,H,10600,13587,2765092
0_UNIFORM_1000,float,32,1,512,-,8548,9756,2759096
0_UNIFORM_1000,float,32,1,512,h,8501,11572,2763092
0_UNIFORM_1000,float,32,1,512,H,8514,11586,2763092
0_UNIFORM_1000,float,32,2,512,-,8622,9792,2759096
0_UNIFORM_1000,float,32,2,512,h,8635,11707,2763092
0_UNIFORM_1000,float,32,2,512,H,8617,11982,2763092
0_UNIFORM_1000,float,32,3,512,-,9050,10034,2761096
0_UNIFORM_1000,float,32,3,512,h,9093,11858,2765092
0_UNIFORM_1000,float,32,3,512,H,9105,11854,2765092
0_UNIFORM_1000,double,-,1,512,-,18841,19877,5383156
0_UNIFORM_1000,double,-,1,512,h,18840,19961,5387152
0_UNIFORM_1000,double,-,1,512,H,18838,19974,5387152
0_UNIFORM_1000,double,-,2,512,-,18817,19847,5383156
0_UNIFORM_1000,double,-,2,512,h,18814,19936,5387152
0_UNIFORM_1000,double,-,2,512,H,18815,19954,5387152
0_UNIFORM_1000,double,-,3,512,-,18808,19783,5385156
0_UNIFORM_1000,double,-,3,512,h,18809,19858,5389152
0_UNIFORM_1000,double,-,3,512,H,18808,19868,5389152
0_UNIFORM_1000,double,32,1,512,-,17712,18902,5383156
0_UNIFORM_1000,double,32,1,512,h,17666,18952,5387152
0_UNIFORM_1000,double,32,1,512,H,17561,18847,5387152
0_UNIFORM_1000,double,32,2,512,-,17648,18842,5383156
0_UNIFORM_1000,double,32,2,512,h,17546,18817,5387152
0_UNIFORM_1000,double,32,2,512,H,17617,18899,5387152
0_UNIFORM_1000,double,32,3,512,-,22310,23300,5385156
0_UNIFORM_1000,double,32,3,512,h,22302,23385,5389152
0_UNIFORM_1000,double,32,3,512,H,22338,23419,5389152
0_UNIFORM_3000,float,-,1,512,-,27137,29907,8277096
0_UNIFORM_3000,float,-,1,512,h,27048,31568,8289092
0_UNIFORM_3000,float,-,1,512,H,27129,31638,8289092
0_UNIFORM_3000,float,-,2,512,-,27202,29973,8277096
0_UNIFORM_3000,float,-,2,512,h,27272,31790,8289092
0_UNIFORM_3000,float,-,2,512,H,27203,31707,8289092
0_UNIFORM_3000,float,-,3,512,-,27133,28983,8283096
0_UNIFORM_3000,float,-,3,512,h,27129,30740,8295092
0_UNIFORM_3000,float,-,3,512,H,27133,30746,8295092
0_UNIFORM_3000,float,32,1,512,-,21169,24359,8277096
0_UNIFORM_3000,float,32,1,512,h,21226,26258,8289092
0_UNIFORM_3000,float,32,1,512,H,21264,25912,8289092
0_UNIFORM_3000,float,32,2,512,-,21552,24403,8277096
0_UNIFORM_3000,float,32,2,512,h,21565,26226,8289092
0_UNIFORM_3000,float,32,2,512,H,21536,26190,8289092
0_UNIFORM_3000,float,32,3,512,-,22622,24571,8283096
0_UNIFORM_3000,float,32,3,512,h,22651,26397,8295092
0_UNIFORM_3000,float,32,3,512,H,22636,26355,8295092
0_UNIFORM_3000,double,-,1,512,-,51377,52607,16149156
0_UNIFORM_3000,double,-,1,512,h,51397,53034,16161152
0_UNIFORM_3000,double,-,1,512,H,51395,53040,16161152
0_UNIFORM_3000,double,-,2,512,-,51331,52550,16149156
0_UNIFORM_3000,double,-,2,512,h,51320,52823,16161152
0_UNIFORM_3000,double,-,2,512,H,51315,52816,16161152
0_UNIFORM_3000,double,-,3,512,-,51284,52316,16155156
0_UNIFORM_3000,double,-,3,512,h,51290,52731,16167152
0_UNIFORM_3000,double,-,3,512,H,51284,52742,16167152
0_UNIFORM_3000,double,32,1,512,-,50341,51477,16149156
0_UNIFORM_3000,double,32,1,512,h,50283,51817,16161152
0_UNIFORM_3000,double,32,1,512,H,50272,51801,16161152
0_UNIFORM_3000,double,32,2,512,-,50015,51135,16149156
0_UNIFORM_3000,double,32,2,512,h,50257,51800,16161152
0_UNIFORM_3000,double,32,2,512,H,50136,51662,16161152
