file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,64,-,2841,4281,33432
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,64,w,2850,5803,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,64,W,2851,5798,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,64,h,2851,5792,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,64,H,2851,5776,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,128,-,2842,4282,33432
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,128,w,2851,5783,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,128,W,2851,5789,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,128,h,2851,5782,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,128,H,2538,10385,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,64,-,2281,3835,33432
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,64,w,2286,5300,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,64,W,2275,5270,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,64,h,2277,5265,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,64,H,2275,5270,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,128,-,2281,3836,33432
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,128,w,2291,5291,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,128,W,2293,5274,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,128,h,2292,5290,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,128,H,2292,5287,33512
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,64,-,2403,5915,102340
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,64,w,2401,7287,102420
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,64,W,2399,7297,102420
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,64,h,2399,7285,102420
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,64,H,2398,7301,102420
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,128,-,2402,5381,202436
